,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",Myles Udland,"Microsoft FTC probe 'not a complete shocker,' analyst says",Microsoft stock was lagging behind its tech peers on Friday as investors reacted to news the company is facing a broad inquiry from the FTC.,https://finance.yahoo.com/news/microsoft-ftc-probe-not-a-complete-shocker-analyst-says-153516617.html,https://s.yimg.com/ny/api/res/1.2/I0qnOQ7PGa4tbNf8mywdyA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-11/77dec4c0-ae66-11ef-b7fb-315a233393c4,2024-11-29T15:35:16Z,"Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.
After falling as … [+2621 chars]"
1,"{'id': None, 'name': 'Applech2.com'}",applech2,AmazonのPCソフト・ブラックフライデーセールで、Microsoft 365やOffice 2024永続版、Parallels Desktop Proの年間サブスクリプションが特別価格で販売中。,"AmazonのPCソフト・ブラックフライデーセールで、Microsoft 365やOffice 2024永続版、Parallels Desktop Proの年間サブスクリプションが特別価格で販売されています。詳細は以下 […]
The post AmazonのPCソフト・ブラックフライデーセールで、Microsoft 365やOffice 2024永続版、Parallels Desktop Proの年間サブスクリプションが特別価格で販売中。 first appeared on AAPL Ch..",https://applech2.com/archives/20241129-amazon-black-friday-pc-software.html,https://applech2.com/wp-content/uploads/2024/11/20241129-Amazon-black-friday-pc-software-sale.jpg,2024-11-29T13:29:16Z,"AmazonPCMicrosoft 365Office 2024Parallels Desktop Pro
Amazon Japan202411290AmazonPCMicrosoft 365Office 2024Parallels Desktop
PC 11/29[]00:0012/6[]23:59
PC – Amazon.co.jp
Microsoft
Microsoft 365 … [+410 chars]"
2,"{'id': None, 'name': 'Applech2.com'}",applech2,ブラックフライデーセールで7年ぶりにメジャーアップデートされたシステムモニタアプリ「iStat Menus 7」や「Usage」、Markdownエディタ「Archimedes」、「BetterTouchTool」などのMac用アプリが特別価格。,"ブラックフライデーセールで7年ぶりにメジャーアップデートされたシステムモニタアプリ「iStat Menus v7」や「Usage」、Markdownエディタ「Archimedes」、「BetterTouchTool」な […]
The post ブラックフライデーセールで7年ぶりにメジャーアップデートされたシステムモニタアプリ「iStat Menus 7」や「Usage」、Markdownエディタ「Archimedes」、「BetterTouchTool」などのMac用アプリが特別価格。 first appear…",https://applech2.com/archives/20241129-black-friday-sale-mac-apps.html,https://applech2.com/wp-content/uploads/2024/11/20241128-black-friday-sale-mac-apps-Hero.jpg,2024-11-29T05:27:33Z,"7iStat Menus v7UsageMarkdownArchimedesBetterTouchToolMac
(1128)7MaciStat Menus v7
macOS/iOSUsageMarkdownArchimedesBetterTouchTool
iStat Menus v7
Bjango Pty Ltd.2007Mac077iStats Menus v7 ()50%OFF… [+434 chars]"
3,"{'id': None, 'name': 'Applech2.com'}",applech2,Parallels、Windows 11 24H2仮想マシンでスクロールが遅くなる不具合を修正した「Parallels Desktop 20 for Mac v20.1.2」をリリース。,"ParallelsがWindows 11 24H2仮想マシンでスクロールが遅くなる不具合を修正した「Parallels Desktop 20 for Mac v20.1.2」をリリースしています。詳細は以下から。 　A […]
The post Parallels、Windows 11 24H2仮想マシンでスクロールが遅くなる不具合を修正した「Parallels Desktop 20 for Mac v20.1.2」をリリース。 first appeared on AAPL Ch..",https://applech2.com/archives/20241129-parallels-fixed-slow-scrolling-in-windows-11.html,https://applech2.com/wp-content/uploads/2024/11/Parallels-Desktop-20-for-Mac-20-1-2-hotfix-Hero.jpg,2024-11-28T18:09:18Z,"ParallelsWindows 11 24H2Parallels Desktop 20 for Mac v20.1.2
Alludo(Corel)Parallels International GmbH.2024112810Windows VMAppleAIApple IntelligenceParallels Desktop for Mac v20.1.02HotfixParallels … [+387 chars]"
4,"{'id': None, 'name': 'Applech2.com'}",applech2,米Anker、iPhone 15/16 Proシリーズのカメラをキズや汚れから守る「Anker Camera Lens Protector (ShieldX Glass)」を発売。,"米AnkerがiPhone 15/16 Proシリーズのカメラをキズや汚れから守る「Anker Camera Lens Protector (ShieldX Glass)」を発売しています。詳細は以下から。 　iPho […]
The post 米Anker、iPhone 15/16 Proシリーズのカメラをキズや汚れから守る「Anker Camera Lens Protector (ShieldX Glass)」を発売。 first appeared on AAPL Ch..",https://applech2.com/archives/20241128-anker-camera-lens-protector-for-iphone-15-and-16-pro.html,https://applech2.com/wp-content/uploads/2024/11/Anker-Camera-Lens-Protector-for-iPhone-16-Hero.jpg,2024-11-28T09:33:04Z,"AnkeriPhone 15/16 ProAnker Camera Lens Protector (ShieldX Glass)
iPhoneiPhoneAnkeriPhoneAnker Camera Lens Protector (ShieldX Glass, 2-Pack) (A720G)
With a focus on convenience, this protector snaps… [+446 chars]"
5,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Sanders Morris Harris LLC Has $27.43 Million Stake in Apple Inc. (NASDAQ:AAPL),"Sanders Morris Harris LLC lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 8.7% in the third quarter, HoldingsChannel.com reports. The firm owned 117,715 shares of the iPhone maker’s stock after selling 11,275 shares during the per…",https://www.etfdailynews.com/2024/11/28/sanders-morris-harris-llc-has-27-43-million-stake-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:44:47Z,"Sanders Morris Harris LLC lessened its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 8.7% in the third quarter, HoldingsChannel.com reports. The firm owned 117,715 shares of the iPh… [+6371 chars]"
6,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Cadinha & Co. LLC Has $5.30 Million Holdings in Apple Inc. (NASDAQ:AAPL),"Cadinha & Co. LLC grew its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.5% during the third quarter, Holdings Channel.com reports. The firm owned 22,725 shares of the iPhone maker’s stock after acquiring an additional 117 shares during the quarter.…",https://www.etfdailynews.com/2024/11/28/cadinha-co-llc-has-5-30-million-holdings-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:44:46Z,"Cadinha &amp; Co. LLC grew its holdings in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.5% during the third quarter, Holdings Channel.com reports. The firm owned 22,725 shares of the iPhone maker’s st… [+6345 chars]"
7,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,UMB Bank n.a. Has $318.76 Million Stock Holdings in Apple Inc. (NASDAQ:AAPL),"UMB Bank n.a. reduced its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 2.0% in the third quarter, Holdings Channel.com reports. The fund owned 1,368,060 shares of the iPhone maker’s stock after selling 27,446 shares during the period. Apple makes up app…",https://www.etfdailynews.com/2024/11/28/umb-bank-n-a-has-318-76-million-stock-holdings-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:44:46Z,"UMB Bank n.a. reduced its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 2.0% in the third quarter, Holdings Channel.com reports. The fund owned 1,368,060 shares of the iPhone maker’s stock after… [+6392 chars]"
8,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Atlas Private Wealth Advisors Trims Stock Position in Apple Inc. (NASDAQ:AAPL),"Atlas Private Wealth Advisors cut its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.1% during the 3rd quarter, HoldingsChannel.com reports. The fund owned 97,372 shares of the iPhone maker’s stock after selling 79 shares during the period.…",https://www.etfdailynews.com/2024/11/28/atlas-private-wealth-advisors-trims-stock-position-in-apple-inc-nasdaqaapl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:44:46Z,"Atlas Private Wealth Advisors cut its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.1% during the 3rd quarter, HoldingsChannel.com reports. The fund owned 97,372 shares of the iPh… [+6413 chars]"
9,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Apple Inc. (NASDAQ:AAPL) Shares Sold by Peirce Capital Management LLC,"Peirce Capital Management LLC lowered its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 27.4% during the third quarter, Holdings Channel.com reports. The firm owned 1,540 shares of the iPhone maker’s stock after selling 580 shares during the quarter. App…",https://www.etfdailynews.com/2024/11/28/apple-inc-nasdaqaapl-shares-sold-by-peirce-capital-management-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:06:50Z,"Peirce Capital Management LLC lowered its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 27.4% during the third quarter, Holdings Channel.com reports. The firm owned 1,540 shares of the iPhone ma… [+6447 chars]"
