,1. open,2. high,3. low,4. close,5. volume
2024-12-02 19:59:00,239.6900,239.7050,239.6600,239.7050,439
2024-12-02 19:58:00,239.7500,239.7500,239.6600,239.7000,426
2024-12-02 19:57:00,239.7600,239.7800,239.7100,239.7800,11
2024-12-02 19:56:00,239.7200,239.7799,239.7000,239.7250,226
2024-12-02 19:55:00,239.6900,239.7900,239.6500,239.6700,58
2024-12-02 19:54:00,239.7250,239.7250,239.6600,239.7250,32
2024-12-02 19:53:00,239.7200,239.7900,239.6600,239.7900,48
2024-12-02 19:52:00,239.6510,239.7900,239.6500,239.6500,63
2024-12-02 19:51:00,239.7900,239.7900,239.6400,239.6500,109
2024-12-02 19:50:00,239.7100,239.7200,239.6400,239.6400,33
2024-12-02 19:49:00,239.6800,239.6800,239.6500,239.6500,5
2024-12-02 19:48:00,239.7100,239.7100,239.6500,239.7088,139
2024-12-02 19:47:00,239.6800,239.7100,239.6500,239.6900,175
2024-12-02 19:46:00,239.6800,239.7100,239.6500,239.6800,71
2024-12-02 19:45:00,239.6900,239.7100,239.6500,239.6800,114
2024-12-02 19:44:00,239.7300,239.7300,239.6500,239.6900,25
2024-12-02 19:43:00,239.6750,239.7100,239.6400,239.6900,286
2024-12-02 19:42:00,239.6900,239.6900,239.6500,239.6750,426
2024-12-02 19:41:00,239.6700,239.7000,239.6700,239.6900,47
2024-12-02 19:40:00,239.7000,239.7800,239.6800,239.7000,143
2024-12-02 19:39:00,239.6950,239.7000,239.6800,239.7000,43
2024-12-02 19:38:00,239.7100,239.7100,239.6950,239.7000,534
2024-12-02 19:37:00,239.6900,239.7100,239.6700,239.7000,88
2024-12-02 19:36:00,239.6950,239.7100,239.6700,239.6900,40
2024-12-02 19:35:00,239.7000,239.7100,239.6800,239.6950,73
2024-12-02 19:34:00,239.6800,239.6950,239.6800,239.6800,15
2024-12-02 19:33:00,239.6950,239.7100,239.6800,239.6950,49
2024-12-02 19:32:00,239.6900,239.7100,239.6700,239.6800,72
2024-12-02 19:31:00,239.6800,239.7100,239.6700,239.7100,81
2024-12-02 19:30:00,239.7100,239.7600,239.6800,239.6800,73
2024-12-02 19:29:00,239.7700,239.7700,239.6500,239.7100,26
2024-12-02 19:28:00,239.7100,239.7100,239.6500,239.7100,9
2024-12-02 19:27:00,239.7100,239.7700,239.6500,239.7100,33
2024-12-02 19:26:00,239.7250,239.8000,239.6500,239.7600,36
2024-12-02 19:25:00,239.6900,239.8000,239.6500,239.7250,817
2024-12-02 19:24:00,239.7200,239.8000,239.6500,239.7250,461
2024-12-02 19:23:00,239.7300,239.8000,239.6500,239.8000,17
2024-12-02 19:22:00,239.7250,239.8000,239.6500,239.6500,53
2024-12-02 19:21:00,239.7300,239.7700,239.6700,239.7250,61
2024-12-02 19:20:00,239.7400,239.7800,239.6400,239.6700,174
2024-12-02 19:19:00,239.8000,239.8000,239.6400,239.7150,157
2024-12-02 19:18:00,239.7200,239.8000,239.7200,239.8000,131
2024-12-02 19:17:00,239.8000,239.8000,239.7200,239.7200,80
2024-12-02 19:16:00,239.7600,239.7600,239.7150,239.7200,7
2024-12-02 19:15:00,239.7150,239.7900,239.7150,239.7300,55
2024-12-02 19:14:00,239.7200,239.7750,239.6400,239.7150,207
2024-12-02 19:13:00,239.7200,239.7500,239.6400,239.7200,16
2024-12-02 19:12:00,239.7200,239.7800,239.6400,239.7200,118
2024-12-02 19:11:00,239.7500,239.8000,239.6400,239.7200,182
2024-12-02 19:10:00,239.7450,239.8000,239.6400,239.7200,11
2024-12-02 19:09:00,239.7800,239.7800,239.7450,239.7450,24
2024-12-02 19:08:00,239.7450,239.7900,239.7000,239.7900,67
2024-12-02 19:07:00,239.7500,239.7900,239.7000,239.7022,534
2024-12-02 19:06:00,239.7700,239.7800,239.7000,239.7800,231
2024-12-02 19:05:00,239.7000,239.8000,239.7000,239.7500,271
2024-12-02 19:04:00,239.7000,239.8000,239.7000,239.7500,19
2024-12-02 19:03:00,239.7500,239.8000,239.7025,239.7500,33
2024-12-02 19:02:00,239.7600,239.7600,239.7000,239.7500,36
2024-12-02 19:01:00,239.7550,239.8000,239.7000,239.7500,76
2024-12-02 19:00:00,239.7550,239.8200,239.6900,239.7016,198
2024-12-02 18:59:00,239.7750,239.8200,239.7500,239.7550,237
2024-12-02 18:58:00,239.7750,239.8000,239.7700,239.7750,22
2024-12-02 18:57:00,239.7900,239.8000,239.7500,239.7750,28
2024-12-02 18:56:00,239.7600,239.8000,239.7500,239.7500,84
2024-12-02 18:55:00,239.7500,239.8200,239.7000,239.7517,65
2024-12-02 18:54:00,239.7000,239.8000,239.7000,239.7000,11
2024-12-02 18:53:00,239.7000,239.7100,239.6900,239.7100,258
2024-12-02 18:52:00,239.6900,239.7100,239.6900,239.7000,86
2024-12-02 18:51:00,239.6800,239.7100,239.6800,239.7000,61
2024-12-02 18:50:00,239.6650,239.6900,239.6300,239.6700,107
2024-12-02 18:49:00,239.6400,239.6700,239.6300,239.6650,652
2024-12-02 18:48:00,239.6500,239.6500,239.6300,239.6500,184
2024-12-02 18:47:00,239.6300,239.6500,239.6300,239.6500,22
2024-12-02 18:46:00,239.6250,239.6500,239.6000,239.6300,523
2024-12-02 18:45:00,239.6250,239.6500,239.6188,239.6188,64
2024-12-02 18:44:00,239.6500,239.6500,239.6000,239.6250,644
2024-12-02 18:43:00,239.6400,239.6600,239.6250,239.6250,234
2024-12-02 18:42:00,239.6900,239.7900,239.6400,239.6400,877
2024-12-02 18:41:00,239.6600,239.7900,239.6600,239.7250,534
2024-12-02 18:40:00,239.7000,239.7900,239.6600,239.7250,164
2024-12-02 18:39:00,239.7500,239.7650,239.7000,239.7200,189
2024-12-02 18:38:00,239.7650,239.8200,239.7100,239.7650,15
2024-12-02 18:37:00,239.7600,239.8200,239.7100,239.7650,66
2024-12-02 18:36:00,239.7000,239.8200,239.7000,239.7600,73
2024-12-02 18:35:00,239.7600,239.8170,239.7000,239.7300,53
2024-12-02 18:34:00,239.7500,239.8200,239.7030,239.7600,21
2024-12-02 18:33:00,239.7000,239.8200,239.7000,239.7600,26
2024-12-02 18:32:00,239.7650,239.7650,239.7000,239.7600,138
2024-12-02 18:31:00,239.7600,239.8200,239.7100,239.7650,72
2024-12-02 18:30:00,239.7650,239.7650,239.7100,239.7650,69
2024-12-02 18:29:00,239.7100,239.8200,239.7100,239.8200,627
2024-12-02 18:28:00,239.7100,239.8200,239.7100,239.7650,29
2024-12-02 18:27:00,239.7100,239.7650,239.5900,239.7650,5678820
2024-12-02 18:26:00,239.7600,239.7650,239.7000,239.7650,405
2024-12-02 18:25:00,239.7600,239.8200,239.7000,239.8200,158
2024-12-02 18:24:00,239.7300,239.8000,239.7000,239.7300,328
2024-12-02 18:23:00,239.7000,239.7450,239.7000,239.7000,901
2024-12-02 18:22:00,239.6950,239.7300,239.6800,239.7294,1031
2024-12-02 18:21:00,239.7100,239.7300,239.6600,239.7300,28
2024-12-02 18:20:00,239.6800,239.7300,239.6600,239.6950,82
