,info,financials,balance_sheet,cashflow
address1,1600 Amphitheatre Parkway,,,
city,Mountain View,,,
state,CA,,,
zip,94043,,,
country,United States,,,
phone,650 253 0000,,,
website,https://abc.xyz,,,
industry,Internet Content & Information,,,
industryKey,internet-content-information,,,
industryDisp,Internet Content & Information,,,
sector,Communication Services,,,
sectorKey,communication-services,,,
sectorDisp,Communication Services,,,
longBusinessSummary,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in the Google Play and YouTube; and devices, as well as in the provision of YouTube consumer subscription services. The Google Cloud segment offers infrastructure, cybersecurity, databases, analytics, AI, and other services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Gmail, Docs, Drive, Calendar, and Meet; and other services for enterprise customers. The Other Bets segment sells healthcare-related and internet services. The company was incorporated in 1998 and is headquartered in Mountain View, California.",,,
fullTimeEmployees,181269,,,
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Sundar  Pichai', 'age': 50, 'title': 'CEO & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 8802824, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ruth M. Porat', 'age': 65, 'title': 'President & Chief Investment Officer', 'yearBorn': 1958, 'fiscalYear': 2023, 'totalPay': 2515700, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Lawrence Edward Page II', 'age': 50, 'title': 'Co-Founder & Director', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Sergey  Brin', 'age': 49, 'title': 'Co-Founder & Director', 'yearBorn': 1974, 'fiscalYear': 2023, 'totalPay': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. J. Kent Walker', 'age': 62, 'title': 'President of Global Affairs, Chief Legal Officer & Company Secretary', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 2511737, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. Prabhakar  Raghavan', 'age': 62, 'title': 'Senior Vice President of Knowledge and Information - Google', 'yearBorn': 1961, 'fiscalYear': 2023, 'totalPay': 2511737, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Philipp  Schindler', 'age': 52, 'title': 'Senior Vice President & Chief Business Officer of Google', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 2514032, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Anat  Ashkenazi', 'age': 50, 'title': 'Senior VP & CFO', 'yearBorn': 1973, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': ""Ms. Amie Thuener O'Toole"", 'age': 48, 'title': 'Chief Accounting Officer & VP', 'yearBorn': 1975, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Ellen  West', 'title': 'Vice President of Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]",,,
auditRisk,9,,,
boardRisk,7,,,
compensationRisk,10,,,
shareHolderRightsRisk,10,,,
overallRisk,10,,,
governanceEpochDate,1733011200,,,
compensationAsOfEpochDate,1703980800,,,
maxAge,86400,,,
priceHint,2,,,
previousClose,168.95,,,
open,168.725,,,
dayLow,168.57,,,
dayHigh,172.075,,,
regularMarketPreviousClose,168.95,,,
regularMarketOpen,168.725,,,
regularMarketDayLow,168.57,,,
regularMarketDayHigh,172.075,,,
dividendRate,0.8,,,
dividendYield,0.0047,,,
exDividendDate,1733702400,,,
payoutRatio,0.0531,,,
beta,1.034,,,
trailingPE,22.713907,,,
forwardPE,19.16509,,,
volume,23509570,,,
regularMarketVolume,23509570,,,
averageVolume,25693080,,,
averageVolume10days,28062790,,,
averageDailyVolume10Day,28062790,,,
bid,171.33,,,
ask,171.56,,,
bidSize,700,,,
askSize,600,,,
marketCap,2107457798144,,,
fiftyTwoWeekLow,128.25,,,
fiftyTwoWeekHigh,191.75,,,
priceToSalesTrailing12Months,6.200977,,,
fiftyDayAverage,168.3496,,,
twoHundredDayAverage,164.43135,,,
trailingAnnualDividendRate,0.4,,,
trailingAnnualDividendYield,0.0023675645,,,
currency,USD,,,
enterpriseValue,2035268059136,,,
profitMargins,0.27738002,,,
floatShares,10916891030,,,
sharesOutstanding,5842999808,,,
sharesShort,68676244,,,
sharesShortPriorMonth,68512841,,,
sharesShortPreviousMonthDate,1728950400,,,
dateShortInterest,1731628800,,,
sharesPercentSharesOut,0.0056,,,
heldPercentInsiders,0.0025099998,,,
heldPercentInstitutions,0.807,,,
shortRatio,2.55,,,
shortPercentOfFloat,0.0117999995,,,
impliedSharesOutstanding,12289099776,,,
bookValue,25.613,,,
priceToBook,6.695428,,,
lastFiscalYearEnd,1703980800,,,
nextFiscalYearEnd,1735603200,,,
mostRecentQuarter,1727654400,,,
earningsQuarterlyGrowth,0.336,,,
netIncomeToCommon,94268997632,,,
trailingEps,7.55,,,
forwardEps,8.96,,,
lastSplitFactor,20:1,,,
lastSplitDate,1658102400,,,
enterpriseToRevenue,5.989,,,
enterpriseToEbitda,16.484,,,
52WeekChange,0.28979313,,,
SandP52WeekChange,0.32081068,,,
lastDividendValue,0.2,,,
lastDividendDate,1725840000,,,
exchange,NMS,,,
quoteType,EQUITY,,,
symbol,GOOGL,,,
underlyingSymbol,GOOGL,,,
shortName,Alphabet Inc.,,,
longName,Alphabet Inc.,,,
firstTradeDateEpochUtc,1092922200,,,
timeZoneFullName,America/New_York,,,
timeZoneShortName,EST,,,
uuid,e15ce71f-f533-3912-9f11-a46c09e2412b,,,
messageBoardId,finmb_29096,,,
gmtOffSetMilliseconds,-18000000,,,
currentPrice,171.49,,,
targetHighPrice,240.0,,,
targetLowPrice,151.0,,,
targetMeanPrice,209.74146,,,
targetMedianPrice,211.0,,,
recommendationMean,1.58065,,,
recommendationKey,buy,,,
numberOfAnalystOpinions,48,,,
totalCash,93229998080,,,
totalCashPerShare,7.616,,,
ebitda,123469996032,,,
totalDebt,29289000960,,,
quickRatio,1.761,,,
currentRatio,1.95,,,
totalRevenue,339859013632,,,
debtToEquity,9.324,,,
revenuePerShare,27.443,,,
returnOnAssets,0.16483,,,
returnOnEquity,0.32101002,,,
freeCashflow,41104498688,,,
operatingCashflow,105101000704,,,
earningsGrowth,0.366,,,
revenueGrowth,0.151,,,
grossMargins,0.58127,,,
ebitdaMargins,0.36330003,,,
operatingMargins,0.32312,,,
financialCurrency,USD,,,
trailingPegRatio,1.0735,,,
