,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Mizuho Securities USA LLC Cuts Position in Alphabet Inc. (NASDAQ:GOOGL),"Mizuho Securities USA LLC cut its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 16.1% during the third quarter, according to its most recent 13F filing with the Securities and Exchange Commission. The firm owned 379,925 shares of the information serv…",https://www.etfdailynews.com/2024/11/30/mizuho-securities-usa-llc-cuts-position-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-30T09:19:02Z,"Mizuho Securities USA LLC cut its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 16.1% during the third quarter, according to its most recent 13F filing with the Securities and Exchange Commi… [+6632 chars]"
1,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Heritage Investment Group Inc. Boosts Stake in Alphabet Inc. (NASDAQ:GOOGL),"Heritage Investment Group Inc. lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 23.8% in the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 2,828 shares of the in…",https://www.etfdailynews.com/2024/11/30/heritage-investment-group-inc-boosts-stake-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-30T09:19:01Z,"Heritage Investment Group Inc. lifted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 23.8% in the 3rd quarter, according to its most recent Form 13F filing with the Securities and Exch… [+6501 chars]"
2,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Alphabet Inc. (NASDAQ:GOOGL) Shares Purchased by Mizuho Markets Cayman LP,"Mizuho Markets Cayman LP lifted its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.7% in the third quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The firm owned 36,529 shares of the inf…",https://www.etfdailynews.com/2024/11/30/alphabet-inc-nasdaqgoogl-shares-purchased-by-mizuho-markets-cayman-lp/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-30T09:18:57Z,"Mizuho Markets Cayman LP lifted its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.7% in the third quarter, according to the company in its most recent 13F filing with the Securities &a… [+6069 chars]"
3,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Alphabet Inc. (NASDAQ:GOOGL) Stake Lifted by Koa Wealth Management LLC,"Koa Wealth Management LLC raised its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.4% during the third quarter, HoldingsChannel reports. The firm owned 38,557 shares of the information services provider’s stock after purchasing an additional 163…",https://www.etfdailynews.com/2024/11/30/alphabet-inc-nasdaqgoogl-stake-lifted-by-koa-wealth-management-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-30T09:18:56Z,"Koa Wealth Management LLC raised its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 0.4% during the third quarter, HoldingsChannel reports. The firm owned 38,557 shares of the information … [+6357 chars]"
4,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Maxwell Wealth Strategies Inc. Raises Holdings in Alphabet Inc. (NASDAQ:GOOGL),"Maxwell Wealth Strategies Inc. grew its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 20.5% in the third quarter, HoldingsChannel reports. The firm owned 29,278 shares of the information services provider’s stock after buying an addition…",https://www.etfdailynews.com/2024/11/30/maxwell-wealth-strategies-inc-raises-holdings-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-30T09:18:52Z,"Maxwell Wealth Strategies Inc. grew its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 20.5% in the third quarter, HoldingsChannel reports. The firm owned 29,278 shares of the in… [+6669 chars]"
5,"{'id': None, 'name': 'Yahoo Entertainment'}",Myles Udland,"Microsoft FTC probe 'not a complete shocker,' analyst says",Microsoft stock was lagging behind its tech peers on Friday as investors reacted to news the company is facing a broad inquiry from the FTC.,https://finance.yahoo.com/news/microsoft-ftc-probe-not-a-complete-shocker-analyst-says-153516617.html,https://s.yimg.com/ny/api/res/1.2/I0qnOQ7PGa4tbNf8mywdyA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-11/77dec4c0-ae66-11ef-b7fb-315a233393c4,2024-11-29T15:35:16Z,"Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.
After falling as … [+2621 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",aol.com,Better Artificial Intelligence Stock: Microsoft vs. Alphabet,"The race is on for dominance in the artificial intelligence arena. Two tech titans battling for AI supremacy are Microsoft (NASDAQ: MSFT) and Google parent Alphabet (NASDAQ: GOOGL)(NASDAQ: GOOG).
Both are heavily involved in AI. Microsoft invested billions of…",https://biztoc.com/x/ef1c18b7f220c961,https://biztoc.com/cdn/ef1c18b7f220c961_s.webp,2024-11-29T10:00:09Z,The race is on for dominance in the artificial intelligence arena. Two tech titans battling for AI supremacy are Microsoft (NASDAQ: MSFT) and Google parent Alphabet (NASDAQ: GOOGL)(NASDAQ: GOOG).Both… [+144 chars]
7,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Tokio Marine Asset Management Co. Ltd. Has $49.66 Million Position in Alphabet Inc. (NASDAQ:GOOGL),"Tokio Marine Asset Management Co. Ltd. increased its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 4.4% during the third quarter, Holdings Channel reports. The firm owned 299,400 shares of the information services provider’s stock after acquiring an …",https://www.etfdailynews.com/2024/11/29/tokio-marine-asset-management-co-ltd-has-49-66-million-position-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-29T09:34:53Z,"Tokio Marine Asset Management Co. Ltd. increased its stake in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 4.4% during the third quarter, Holdings Channel reports. The firm owned 299,400 shares of t… [+5918 chars]"
8,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Curi RMB Capital LLC Purchases 11,722 Shares of Alphabet Inc. (NASDAQ:GOOGL)","Curi RMB Capital LLC raised its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.6% in the third quarter, HoldingsChannel reports. The firm owned 335,698 shares of the information services provider’s stock after buying an additional 11,72…",https://www.etfdailynews.com/2024/11/29/curi-rmb-capital-llc-purchases-11722-shares-of-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-29T09:34:52Z,"Curi RMB Capital LLC raised its position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.6% in the third quarter, HoldingsChannel reports. The firm owned 335,698 shares of the informatio… [+6599 chars]"
9,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,BluePointe Capital Management LLC Reduces Holdings in Alphabet Inc. (NASDAQ:GOOGL),"BluePointe Capital Management LLC reduced its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 12.3% in the third quarter, Holdings Channel reports. The firm owned 3,756 shares of the information services provider’s stock after selling 528 sha…",https://www.etfdailynews.com/2024/11/29/bluepointe-capital-management-llc-reduces-holdings-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2024-11-29T09:34:52Z,"BluePointe Capital Management LLC reduced its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 12.3% in the third quarter, Holdings Channel reports. The firm owned 3,756 shares of the… [+6591 chars]"
