,1. open,2. high,3. low,4. close,5. volume
2024-12-02 19:59:00,171.4100,171.4100,171.3600,171.4000,14
2024-12-02 19:58:00,171.4500,171.4500,171.3840,171.3840,16
2024-12-02 19:57:00,171.4700,171.4900,171.3500,171.3500,25
2024-12-02 19:56:00,171.4900,171.4900,171.4600,171.4600,93
2024-12-02 19:55:00,171.4000,171.4800,171.3500,171.3500,227
2024-12-02 19:54:00,171.4900,171.4900,171.3600,171.3600,33
2024-12-02 19:53:00,171.4900,171.4900,171.4900,171.4900,2
2024-12-02 19:52:00,171.4000,171.4000,171.3800,171.4000,57
2024-12-02 19:51:00,171.4000,171.4000,171.3500,171.3700,29
2024-12-02 19:50:00,171.3500,171.4900,171.3500,171.4900,12
2024-12-02 19:49:00,171.4900,171.4900,171.4900,171.4900,1
2024-12-02 19:48:00,171.4000,171.4000,171.4000,171.4000,1
2024-12-02 19:47:00,171.4000,171.4000,171.4000,171.4000,12
2024-12-02 19:45:00,171.3600,171.4100,171.3500,171.4100,508
2024-12-02 19:44:00,171.3500,171.3500,171.3500,171.3500,100
2024-12-02 19:43:00,171.3500,171.3505,171.3500,171.3505,138
2024-12-02 19:42:00,171.3535,171.4100,171.3500,171.3500,133
2024-12-02 19:41:00,171.4900,171.4900,171.3535,171.4100,140
2024-12-02 19:40:00,171.4100,171.4100,171.4100,171.4100,1
2024-12-02 19:39:00,171.4000,171.4000,171.4000,171.4000,20
2024-12-02 19:38:00,171.4900,171.4900,171.4000,171.4000,66
2024-12-02 19:37:00,171.4200,171.4900,171.4000,171.4900,9
2024-12-02 19:36:00,171.4897,171.4900,171.4000,171.4000,65
2024-12-02 19:35:00,171.4800,171.4900,171.4000,171.4900,114
2024-12-02 19:34:00,171.4500,171.4500,171.4200,171.4200,317
2024-12-02 19:33:00,171.4500,171.4500,171.4400,171.4500,170
2024-12-02 19:32:00,171.4500,171.4800,171.4000,171.4800,8
2024-12-02 19:30:00,171.4000,171.4000,171.4000,171.4000,60
2024-12-02 19:29:00,171.4700,171.4700,171.4000,171.4500,31
2024-12-02 19:27:00,171.4899,171.4900,171.4899,171.4900,11
2024-12-02 19:26:00,171.4900,171.5100,171.4400,171.4600,106
2024-12-02 19:25:00,171.4022,171.5100,171.4022,171.5100,115
2024-12-02 19:24:00,171.4400,171.4400,171.4400,171.4400,1
2024-12-02 19:23:00,171.4900,171.4900,171.4000,171.4900,80
