,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'Yahoo Entertainment'}",,META vs. MSFT: Which AI Leader Offers Better Long-Term Returns?,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3b106fdc-eb03-41f9-8e76-7ff11b26b0a5,,2024-11-30T22:48:05Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
1,"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"Microsoft FTC probe 'not a complete shocker,' analyst says","In This Article:
Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.
After falling as much as 0.8% on Friday, Microsoft shares wer…",https://biztoc.com/x/246f4d5317b5ff9e,https://biztoc.com/cdn/808/og.png,2024-11-29T16:45:58Z,In This Article:Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.Aft… [+145 chars]
2,"{'id': None, 'name': 'Yahoo Entertainment'}",Myles Udland,"Microsoft FTC probe 'not a complete shocker,' analyst says",Microsoft stock was lagging behind its tech peers on Friday as investors reacted to news the company is facing a broad inquiry from the FTC.,https://finance.yahoo.com/news/microsoft-ftc-probe-not-a-complete-shocker-analyst-says-153516617.html,https://s.yimg.com/ny/api/res/1.2/I0qnOQ7PGa4tbNf8mywdyA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-11/77dec4c0-ae66-11ef-b7fb-315a233393c4,2024-11-29T15:35:16Z,"Microsoft stock (MSFT) lagged its Big Tech peers on Friday after news broke late Wednesday that the Federal Trade Commission has opened a broad antitrust probe into the tech giant.
After falling as … [+2621 chars]"
3,"{'id': None, 'name': 'Biztoc.com'}",aol.com,"This Magnificent Stock Made Many Millionaires, and Could Make More","Throughout the years, Microsoft (NASDAQ: MSFT) is a stock that minted many millionaires. A modest $10,000 investment back in 1994 would now be worth over $1 million dollars today, with the stock up more than 100x over the past 30 years.
While you'll likely ne…",https://biztoc.com/x/2af1af69c060c3af,https://biztoc.com/cdn/2af1af69c060c3af_s.webp,2024-11-29T12:12:06Z,"Throughout the years, Microsoft (NASDAQ: MSFT) is a stock that minted many millionaires. A modest $10,000 investment back in 1994 would now be worth over $1 million dollars today, with the stock up m… [+145 chars]"
4,"{'id': None, 'name': 'BusinessLine'}",Aishwarya  Narendra Kumar,Incuspaze to raise $25 million for expansion ahead of IPO debut,The company had previously secured $8 million in funding from the India Inflection Opportunity Fund and other financial institutions,https://www.thehindubusinessline.com/companies/incuspaze-to-raise-25-million-for-expansion-ahead-of-ipo-debut/article68926626.ece,https://bl-i.thgim.com/public/incoming/9dwi4/article68926963.ece/alternates/LANDSCAPE_1200/IMG_IPO__initial_public__2_1_KKDDNI07.jpg,2024-11-29T11:22:45Z,Coworking firm Incuspaze is planning to raise $25 million (over 210 crore) to expand its operations across major cities ahead of its planned IPO. The company had previously secured $8 million in fund… [+877 chars]
5,"{'id': None, 'name': 'Biztoc.com'}",aol.com,Better Artificial Intelligence Stock: Microsoft vs. Alphabet,"The race is on for dominance in the artificial intelligence arena. Two tech titans battling for AI supremacy are Microsoft (NASDAQ: MSFT) and Google parent Alphabet (NASDAQ: GOOGL)(NASDAQ: GOOG).
Both are heavily involved in AI. Microsoft invested billions of…",https://biztoc.com/x/ef1c18b7f220c961,https://biztoc.com/cdn/ef1c18b7f220c961_s.webp,2024-11-29T10:00:09Z,The race is on for dominance in the artificial intelligence arena. Two tech titans battling for AI supremacy are Microsoft (NASDAQ: MSFT) and Google parent Alphabet (NASDAQ: GOOGL)(NASDAQ: GOOG).Both… [+144 chars]
6,"{'id': None, 'name': 'Biztoc.com'}",247wallst.com,Microsoft Weakened Stock Could Be Hit By Government Probe,"Among the mega tech stocks, Microsoft (NASDAQ: MSFT) has been unable to get on track this year. After a promising start, fueled by what was considered a top position in the AI industry, it has sold down sharply. It has risen 12% for the year compared to an ad…",https://biztoc.com/x/51a57b7000ff3ec8,https://biztoc.com/cdn/808/og.png,2024-11-28T15:39:10Z,"Among the mega tech stocks, Microsoft (NASDAQ: MSFT) has been unable to get on track this year. After a promising start, fueled by what was considered a top position in the AI industry, it has sold d… [+151 chars]"
7,"{'id': None, 'name': 'Forbes'}","Trefis Team, Contributor, 
 Trefis Team, Contributor
 https://www.forbes.com/sites/greatspeculations/people/trefis/",Unilever Vs. PG Stock,"Given its better prospects, we believe that Unilever (NYSE: UL) is currently a better pick than its sector peer, Procter & Gamble stock (NYSE: PG).",https://www.forbes.com/sites/greatspeculations/2024/11/28/unilever-vs-pg-stock/,https://imageio.forbes.com/specials-images/imageserve/6747f64e5d0c51305ea3a91e/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-11-28T10:00:00Z,"Dove packaging are seen in a store in Krakow, Poland on October 2, 2024. (Photo by Jakub ... [+] Porzycki/NurPhoto via Getty Images)
NurPhoto via Getty Images
Given its better prospects, we believe… [+6913 chars]"
8,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Profit Investment Management LLC Sells 71 Shares of Microsoft Co. (NASDAQ:MSFT),"Profit Investment Management LLC decreased its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.5% during the 3rd quarter, according to the company in its most recent disclosure with the SEC. The firm owned 4,618 shares of the software giant’s stock af…",https://www.etfdailynews.com/2024/11/28/profit-investment-management-llc-sells-71-shares-of-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:44:45Z,"Profit Investment Management LLC decreased its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.5% during the 3rd quarter, according to the company in its most recent disclosure with the SEC. … [+7178 chars]"
9,"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Microsoft Co. (NASDAQ:MSFT) Position Reduced by Congress Park Capital LLC,"Congress Park Capital LLC trimmed its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.3% in the 3rd quarter, according to the company in its most recent disclosure with the Securities & Exchange Commission. The firm owned 20,300 shares of…",https://www.etfdailynews.com/2024/11/28/microsoft-co-nasdaqmsft-position-reduced-by-congress-park-capital-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-11-28T08:06:53Z,"Congress Park Capital LLC trimmed its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.3% in the 3rd quarter, according to the company in its most recent disclosure with the Secur… [+7156 chars]"
