,1. open,2. high,3. low,4. close,5. volume
2024-12-02 19:59:00,430.5700,430.8600,430.5700,430.8600,959
2024-12-02 19:58:00,430.7300,430.8500,430.5700,430.7000,10
2024-12-02 19:57:00,430.7300,430.8600,430.5700,430.5700,296
2024-12-02 19:56:00,430.7300,430.8600,430.7300,430.7300,57
2024-12-02 19:55:00,430.7300,430.8500,430.7300,430.7300,20
2024-12-02 19:54:00,430.7200,430.8600,430.7200,430.7300,52
2024-12-02 19:53:00,430.7850,430.8000,430.7200,430.7200,16
2024-12-02 19:52:00,430.8600,430.8600,430.7000,430.8000,55
2024-12-02 19:51:00,430.7850,430.7850,430.7700,430.7700,10
2024-12-02 19:50:00,430.7800,430.7800,430.7300,430.7800,34
2024-12-02 19:49:00,430.7900,430.7900,430.7200,430.7800,35
2024-12-02 19:48:00,430.7100,430.7900,430.5772,430.7900,10
2024-12-02 19:47:00,430.8600,430.8600,430.5700,430.8600,44
2024-12-02 19:46:00,430.7150,430.8600,430.6000,430.7100,55
2024-12-02 19:45:00,430.7150,430.7150,430.7150,430.7150,4
2024-12-02 19:44:00,430.7000,430.7150,430.5700,430.7150,72
2024-12-02 19:43:00,430.7150,430.8600,430.5700,430.6000,103
2024-12-02 19:42:00,430.8599,430.8600,430.5700,430.8500,187
2024-12-02 19:41:00,430.7200,430.8600,430.5772,430.5772,33
2024-12-02 19:40:00,430.8300,430.8600,430.7200,430.7200,1961
2024-12-02 19:39:00,430.8000,430.8600,430.8000,430.8600,159
2024-12-02 19:38:00,430.8000,430.8600,430.8000,430.8600,192
2024-12-02 19:37:00,430.8300,430.8600,430.8000,430.8300,150
2024-12-02 19:36:00,430.7600,430.8600,430.7500,430.8300,308
2024-12-02 19:35:00,430.5700,430.8050,430.5700,430.8050,16
2024-12-02 19:34:00,430.7900,430.7900,430.7150,430.7150,13
2024-12-02 19:33:00,430.7150,430.7200,430.5700,430.7200,10
2024-12-02 19:32:00,430.8600,430.8600,430.7150,430.7150,4
2024-12-02 19:31:00,430.7150,430.8000,430.6500,430.7200,26
2024-12-02 19:30:00,430.6600,430.8600,430.6600,430.7150,62
2024-12-02 19:29:00,430.7150,430.8600,430.6500,430.8600,9
2024-12-02 19:28:00,430.7150,430.8600,430.6600,430.6600,24
2024-12-02 19:27:00,430.7150,430.8600,430.7100,430.8600,64
2024-12-02 19:26:00,430.6500,430.7300,430.5600,430.5700,211
2024-12-02 19:25:00,430.7900,430.8600,430.7900,430.8600,136
2024-12-02 19:24:00,430.5600,430.8600,430.5600,430.5600,123
2024-12-02 19:23:00,430.7100,430.8599,430.7100,430.7400,1031
